annee_fin_couv,mois_fin_couv,annee_deb_couv,valeur,mois_deb_couv,nom_indicateur
2022,7,2022,90.41501162790698,7,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2022,0,2022,89.68656976744187,0,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2022,9,2022,88.57455426356589,9,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2022,10,2022,87.71765116279069,10,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2022,11,2022,87.51427906976744,11,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2022,0,2022,88.16137209302326,0,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2021,1,2021,95.79365891472868,1,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2021,0,2021,94.63021705426355,0,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2021,3,2021,94.04362403100777,3,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2021,4,2021,93.50006589147289,4,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2021,5,2021,93.67015891472867,5,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2021,6,2021,91.66628682170544,6,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2021,7,2021,91.66628682170544,7,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2021,0,2021,91.66998449612404,0,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2021,9,2021,91.66998449612404,9,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2021,10,2021,91.48140310077518,10,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2021,11,2021,91.32953100775194,11,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2021,0,2021,90.39771705426357,0,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2020,1,2020,95.6936007751938,1,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2020,0,2020,95.68620542635658,0,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
2020,3,2020,95.1791976744186,3,APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION
